0 18914 
322 19317 
0 0.999500 
168  
600 18900 
100 18900 
0 149 18946 
0 231 18885 
0 318 18824 
0 432 18817 
0 505 18872 
0 583 18941 
0 283 17877 
0 356 17847 
0 448 17863 
0 480 17973 
0 437 18067 
0 342 18093 
0 414 18172 
0 485 18247 
0 483 18338 
0 400 18372 
0 328 18364 
0 266 18302 
0 147 16483 
0 461 16342 
0 1 15180 
0 100 15188 
0 267 15206 
0 628 13963 
0 387 13988 
0 190 11426 
0 389 11606 
0 546 11310 
0 196 10120 
0 404 10266 
0 525 10056 
0 9 8817 
0 186 8899 
0 761 8730 
0 71 7457 
0 375 7576 
0 662 7373 
0 135 4778 
0 297 4800 
0 428 4797 
1 239 17531 
1 517 17554 
1 389 16747 
1 309 16058 
1 475 15340 
1 230 14657 
1 430 14673 
1 496 13835 
1 280 12021 
1 457 11788 
1 268 9485 
1 406 9629 
1 329 7971 
1 312 6391 
1 481 6224 
1 293 3893 
1 442 2045 
1 238 2231 
1 295 282 
1 456 444 
2 81 17060 
2 551 16855 
2 215 15667 
2 204 13432 
2 283 13438 
2 378 12453 
2 717 10532 
2 147 10499 
2 521 8335 
2 535 6844 
2 314 6849 
2 236 6838 
2 1 4414 
2 113 4433 
2 264 2786 
2 540 1360 
2 379 1368 
2 610 147 
2 56 429 
2 118 884 
3 79 19118 
3 362 17391 
3 249 16784 
3 536 16074 
3 68 13547 
3 322 13690 
3 526 10474 
3 32 11722 
3 566 872 
3 301 977 
6 100 17990 
6 275 16960 
6 213 16265 
6 120 15876 
6 196 14604 
6 406 14469 
6 653 13588 
6 285 13277 
6 238 11334 
6 473 11208 
6 64 9962 
6 112 9809 
6 374 9884 
6 510 6752 
6 181 6579 
6 115 5414 
6 492 5358 
6 663 3496 
6 412 3589 
6 464 3384 
6 437 2259 
6 495 1185 
6 284 533 
6 81 1489 
6 295 2099 
7 698 18807 
7 687 17900 
7 452 17127 
7 197 17209 
7 388 15846 
7 109 15351 
7 444 15080 
7 330 14788 
7 581 14587 
7 233 13753 
7 315 12817 
7 531 12656 
7 253 12359 
7 107 12314 
7 474 10898 
7 271 10769 
7 419 9305 
7 359 9173 
7 486 8715 
7 236 8343 
7 267 7331 
7 473 7222 
7 286 5351 
7 451 3893 
7 407 2935 
8 489 280 
8 123 1290 
8 260 1818 
8 214 2574 
8 309 3195 
8 193 3870 
8 67 3977 
8 362 4597 
8 344 5296 
8 274 6267 
8 374 6737 
8 398 7393 
8 57 7876 
8 315 8664 
8 404 9542 
8 350 10099 
8 423 10737 
8 392 11461 
8 495 12377 
8 491 12896 
8 447 13508 
8 331 14634 
8 366 15573 
8 426 16942 
8 325 11834 
4 682 17227 
4 92 14875 
4 90 12827 
4 236 10928 
4 352 5780 
4 70 3452 
4 241 1591 
4 312 1142 
4 547 2594 
4 462 4156 
5 0 0 
5 300 18568 
5 104 16624 
5 499 15638 
5 511 14315 
5 56 14296 
5 83 13090 
5 30 11149 
5 62 9071 
5 33 8059 
9 69 830 
9 484 1622 
9 579 1697 
9 82 4373 
9 368 4451 
9 364 5550 
9 458 6416 
9 549 7563 
9 65 8986 
9 684 10433 
9 499 12062 
9 257 13593 
9 660 14168 
9 330 17709 
10 372 18475 
